run,model,k,recall,hitrate,ndcg,map,mrr,users
2way_gpu,baseline_ranker,20,0.1416303671437461,0.1416303671437461,0.0558649838953083,0.0324204422532894,0.0324204422532894,8035
3way_gpu_cosine,baseline_ranker,20,0.1442439327940261,0.1442439327940261,0.0557313966808066,0.0317902843610082,0.0317902843610082,8035
2way_gpu,baseline_retrieval_als,20,0.1304293714996888,0.1304293714996888,0.0501391391933296,0.028374400105738,0.028374400105738,8035
3way_gpu_cosine,baseline_retrieval_als,20,0.1308027380211574,0.1308027380211574,0.0501692017164635,0.028319064067844,0.028319064067844,8035
2way_gpu,final_ranker_ensemble,20,0.1476042314872433,0.1476042314872433,0.0574330662136176,0.0328625104311776,0.0328625104311776,8035
3way_gpu_cosine,final_ranker_ensemble,20,0.1494710640945862,0.1494710640945862,0.0578886987555076,0.033064307852324,0.033064307852324,8035
2way_gpu,final_ranker_two_tower_hybrid,20,0.1442439327940261,0.1442439327940261,0.0556241474232593,0.0314999187038985,0.0314999187038985,8035
3way_gpu_cosine,final_ranker_two_tower_hybrid3,20,0.1488487865588052,0.1488487865588052,0.0575763070617631,0.0327455944791238,0.0327455944791238,8035
2way_gpu,final_retrieval_two_tower_faiss_hybrid,20,0.1243310516490354,0.1243310516490354,0.0479508767516926,0.0272662318525087,0.0272662318525087,8035
3way_gpu_cosine,final_retrieval_two_tower_faiss_hybrid3,20,0.1298070939639079,0.1298070939639079,0.049909957185183,0.0282738444636179,0.0282738444636179,8035
