model,k,recall,hitrate,ndcg,map,mrr,users,split_offset
baseline_retrieval_als,20,0.1314250155569384,0.1314250155569384,0.050370267620568426,0.0284246839428745,0.0284246839428745,8035,0
baseline_ranker,20,0.14138145612943373,0.14138145612943373,0.05452786888049548,0.030895727132864977,0.030895727132864977,8035,0
final_retrieval_two_tower_faiss_hybrid3,20,0.1298070939639079,0.1298070939639079,0.049948775021168505,0.028316478218358723,0.028316478218358723,8035,0
final_ranker_two_tower_hybrid3,20,0.1495955196017424,0.1495955196017424,0.05801495471963245,0.032979576770171694,0.032979576770171694,8035,0
final_ranker_ensemble,20,0.1495955196017424,0.1495955196017424,0.0579800901099435,0.03290968034279514,0.03290968034279514,8035,0
baseline_retrieval_als,20,0.14075917859365278,0.14075917859365278,0.052019993079892884,0.02811715010600111,0.02811715010600111,8035,1
baseline_ranker,20,0.15482265090230243,0.15482265090230243,0.05800820459159587,0.03185984079800507,0.03185984079800507,8035,1
final_retrieval_two_tower_faiss_hybrid3,20,0.13690105787181084,0.13690105787181084,0.050959173715980445,0.02782043894407856,0.02782043894407856,8035,1
final_ranker_two_tower_hybrid3,20,0.1583074051026758,0.1583074051026758,0.0610174741785868,0.034639427234594185,0.034639427234594185,8035,1
final_ranker_ensemble,20,0.15917859365276912,0.15917859365276912,0.060997833631761235,0.034341768361811166,0.034341768361811166,8035,1
baseline_retrieval_als,20,0.14573739887990045,0.14573739887990045,0.05531455794398485,0.031050630926411433,0.031050630926411433,8035,2
baseline_ranker,20,0.16627255756067205,0.16627255756067205,0.06404608638613192,0.03620693528050264,0.03620693528050264,8035,2
final_retrieval_two_tower_faiss_hybrid3,20,0.13727442439327942,0.13727442439327942,0.05288854979835031,0.030071507095098725,0.030071507095098725,8035,2
final_ranker_two_tower_hybrid3,20,0.16726820161792158,0.16726820161792158,0.0643439040814605,0.036404577319156646,0.036404577319156646,8035,2
final_ranker_ensemble,20,0.17212196639701308,0.17212196639701308,0.06611540715391387,0.03732309844695476,0.03732309844695476,8035,2
