model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07716241443683883,0.03815467026459709,0.02646442646753782,0.02646442646753782,8035
baseline_retrieval_als,20,0.13167392657125077,0.05180525641377611,0.030140653299092286,0.030140653299092286,8035
baseline_retrieval_als,50,0.25326695706285,0.07579981628784632,0.033934063184351125,0.033934063184351125,8035
baseline_ranker,10,0.08500311138767891,0.04187636636310232,0.028952450094329323,0.028952450094329323,8035
baseline_ranker,20,0.14212818917237088,0.05625627455346678,0.03286627912906422,0.03286627912906422,8035
baseline_ranker,50,0.25588052271313005,0.07870248494404523,0.03641797480272229,0.03641797480272229,8035
final_retrieval_two_tower_faiss_hybrid,10,0.07255756067205973,0.036332569627505196,0.02546759711974395,0.02546759711974395,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12594897324206597,0.049666104363091636,0.02904023524169326,0.02904023524169326,8035
final_retrieval_two_tower_faiss_hybrid,50,0.24592408214063471,0.07332097954389247,0.03277361277796317,0.03277361277796317,8035
final_ranker_two_tower_hybrid,10,0.08550093341630367,0.041022313904890584,0.027751997708438204,0.027751997708438204,8035
final_ranker_two_tower_hybrid,20,0.1436216552582452,0.055650029959597794,0.031732735164027415,0.031732735164027415,8035
final_ranker_two_tower_hybrid,50,0.26297448662103295,0.0791676282525647,0.03544193348804371,0.03544193348804371,8035
final_ranker_ensemble,10,0.0851275668948351,0.04230415101648948,0.029442271411779766,0.029442271411779766,8035
final_ranker_ensemble,20,0.14561294337274425,0.05756967616876259,0.03361858820872305,0.03361858820872305,8035
final_ranker_ensemble,50,0.2654635967641568,0.08118336993193633,0.03734155112569804,0.03734155112569804,8035
