profile,pipeline_s,retrieval_recall20,retrieval_ndcg20,ranker_recall20,ranker_ndcg20,ranker_map20
quality_goal_stable_cpufeat_rerun,1657.4,0.13467179937862828,0.050972688031652835,0.17529614180148287,0.07323644265379026,0.045261177360500074
quality_200_ep2_k70,198.4,0.0815890777209768,0.0311383397272473,0.1037579373429551,0.0430145324135863,0.0263120342575887
quality_200_ep2,187.4,0.0815519439527658,0.0311282596046688,0.1011152508386042,0.0420528520712285,0.0258319995259217
speed150_quality_k55_q12k_r170,147.0,0.0749545111339415,0.0290245617909782,0.0916399509834259,0.038179725981207,0.0234610604255651
speed150_quality,145.2,0.074948322172573,0.0290231336115642,0.0901669781777222,0.037891883547425,0.0234903876621348
speed150,134.3,0.0744160714948817,0.0288941435429358,0.0860079961380881,0.0363306213171984,0.0226218087809696
quality_goal_stable_cpufeat_k220_chunked_tuned,1923.8,0.13457277599673223,0.05095675964345342,0.1779078834989912,0.07412207020727309,0.04566143417984916
quality_goal_strict_gpufirst_k220,2708.4,0.13157731869437672,0.04980953233463631,0.17567985740633008,0.07263856084712965,0.04438219779855661
quality_goal_hybrid4_k220,2821.8,0.13497505848568495,0.05101438695456955,0.1787186374382651,0.07466999302028315,0.0461380251332189
quality_goal_hybrid4_k220_tuned_fast,2821.8,0.13497505848568495,0.05101438695456955,0.1790899751203753,0.07477229045916138,0.046166694448849695
